Children,Age,Income,Churn,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Port_modem,Tablet,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,Tenure,Bandwidth_GB_Year,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Area_Suburban,Area_Urban,Marital_Married,Marital_Never Married,Marital_Separated,Marital_Widowed,Gender_Male,Gender_Nonbinary,Contract_One year,Contract_Two Year,InternetService_Fiber Optic,InternetService_None,PaymentMethod_Credit Card (automatic),PaymentMethod_Electronic Check,PaymentMethod_Mailed Check
0,43,18677.06,0,5.566881,12,0,0,0,1,0,1,0,0,0,0,1,1,0,1,4.431604,542.7248776,4,4,5,5,3,4,3,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0,40,31429.51,0,9.708299,12,0,1,0,1,1,1,1,0,1,0,0,1,1,0,61.35427,5725.876807,1,2,1,3,3,3,2,2,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
4,72,19685.04,1,15.8001,12,0,0,0,1,1,1,1,0,0,1,1,1,0,1,13.43811,1965.462483,4,4,4,4,3,3,5,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
4,35,29179.15,0,7.449366,13,0,0,0,1,0,1,1,1,1,0,0,0,1,1,3.911083,971.4767445,4,3,3,3,3,3,4,5,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0
1,25,36700.44,0,12.70422,11,0,0,0,0,1,1,1,0,1,0,0,1,0,1,59.28871,5328.076501,4,3,3,3,2,5,3,4,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
0,70,30328.46,0,9.920573,12,0,1,0,0,0,1,0,0,0,0,0,0,1,0,5.595446,630.454611,3,4,2,5,3,3,3,3,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
2,73,36841.04,1,12.74847,11,3,0,1,1,0,1,0,1,1,0,0,1,1,0,61.27787,5676.244141,2,2,2,3,4,2,2,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0
4,84,24026.7,0,7.072618,10,1,0,1,0,0,1,0,1,1,0,0,1,0,1,60.38138,5319.773541,3,3,3,5,2,4,4,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
3,45,69222.79,1,15.42891992,17,0,1,0,0,0,1,1,0,0,0,1,1,1,0,6.215774391,1607.735971,4,4,3,3,3,3,4,4,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
0,74,58425.91,0,10.92195,10,4,0,0,0,0,1,1,0,0,1,0,1,0,0,61.55321,5360.396176,5,4,5,5,2,4,7,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,33,34945.56,1,6.281176,9,2,0,0,0,1,1,1,0,1,1,0,0,1,1,31.44123,3069.097767,5,5,4,4,3,5,6,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2,79,21406.95,0,13.50438,13,3,0,1,0,1,1,1,0,1,0,1,0,1,1,71.50974,6564.863417,2,3,2,4,4,2,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,58,55438.14,0,11.02008,10,1,1,0,0,0,1,0,0,0,1,1,0,1,1,12.73029,1705.874036,4,3,4,3,3,3,4,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0,57,47757.95,1,7.550902576,12,2,1,0,0,0,0,1,1,1,0,0,0,1,1,1.456262249,906.2735981,3,3,2,3,4,4,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,65,94296.35,1,11.46299,15,1,0,0,0,0,1,1,0,0,0,0,0,1,0,3.23817,443.3624779,3,2,4,3,3,3,3,3,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0
2,27,33392.44,0,9.789614,14,2,2,0,1,0,1,1,0,1,1,0,1,0,0,51.59283,4853.919295,5,6,5,2,5,3,3,4,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0
0,55,62894.22,0,6.601125,11,1,0,1,1,0,1,0,0,0,0,0,0,0,1,16.71459,1844.526573,3,4,3,4,2,5,4,4,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
1,47,34264.02,0,6.259396187,14,1,2,1,0,1,0,0,1,0,0,1,1,0,0,5.794641025,786.3429747,4,2,4,1,6,1,2,3,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0
1,41,58384.68,1,9.290332689,6,1,0,0,1,1,1,0,1,1,0,0,0,1,1,1.415346194,500.7187258,4,4,5,4,3,3,2,4,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0
2,77,78661.48,0,12.62813,11,2,0,0,1,0,1,0,0,1,1,1,0,0,1,63.61158,5364.283551,2,2,2,3,5,2,2,2,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
